1534-1673
1803-1818
3706-3722

train:		test
0	331	47/75
1	439	26/56
2	2621	219/259
3	260	28/39
4	14	0/13
5	199	18/23
6	719	87/116
7	18	0/6
8	1546	438/495
9	410	16/39
10	1250	110/144
11	186	0/1
12	1	0/3
14	560	106/152
15	176	2/19
16	77	15/63
17	466	23/41
18	1491	146/339
19	113	1/17
20	42	0/1
21	41	0/0


